date,dining_hall,swipes,featured_item,week,coffee_consumed,average_coffee
2024-01-08,Brooks,108,Pasta,1,24,4.5
2024-01-09,Brooks,112,Chicken,1,26,4.3076923076923075
2024-01-10,Brooks,116,Tacos,1,27,4.296296296296297
2024-01-11,Brooks,110,Stir-Fry,1,29,3.793103448275862
2024-01-12,Brooks,119,Burrito,1,31,3.838709677419355
2024-01-15,Brooks,120,Pasta,2,30,4.0
2024-01-16,Brooks,115,Chicken,2,28,4.107142857142857
2024-01-17,Brooks,125,Tacos,2,29,4.310344827586207
2024-01-18,Brooks,118,Stir-Fry,2,33,3.5757575757575757
2024-01-19,Brooks,127,Burrito,2,35,3.6285714285714286
2024-01-22,Brooks,132,Lasagna,3,32,4.125
2024-01-23,Brooks,121,Pasta,3,34,3.5588235294117645
2024-01-24,Brooks,128,Tacos,3,36,3.5555555555555554
2024-01-25,Brooks,134,Burger,3,38,3.526315789473684
2024-01-26,Brooks,130,Lasagna,3,40,3.25
